Pais,SuicideClass,MortalityClass,HomicideClass,GobExpenditureClass,AlcoholConsumptionClass
Afghanistan,Bajo,Alto,Medio,Medio,Medio
Albania,Bajo,Bajo,Bajo,Medio,Medio
Algeria,Bajo,Medio,Bajo,Medio,Medio
Angola,Medio,Alto,Medio,Bajo,Bajo
Antigua and Barbuda,Bajo,Bajo,Bajo,Alto,Alto
Argentina,Medio,Bajo,Medio,Bajo,Bajo
Armenia,Bajo,Medio,Bajo,Medio,Bajo
Australia,Medio,Bajo,Bajo,Alto,Alto
Austria,Medio,Bajo,Bajo,Alto,Alto
Azerbaijan,Bajo,Medio,Bajo,Bajo,Bajo
Bahamas (the),Bajo,Medio,Alto,Alto,Alto
Bahrain,Bajo,Bajo,Bajo,Medio,Medio
Bangladesh,Bajo,Medio,Bajo,Bajo,Bajo
Barbados,Bajo,Medio,Medio,Medio,Medio
Belarus,Alto,Bajo,Bajo,Alto,Alto
Belgium,Alto,Bajo,Bajo,Alto,Alto
Belize,Bajo,Medio,Alto,Alto,Alto
Benin,Medio,Alto,Medio,Medio,Medio
Bhutan,Bajo,Medio,Bajo,Medio,Medio
Bolivia (Plurinational State of),Bajo,Medio,Medio,Medio,Medio
Bosnia and Herzegovina,Medio,Bajo,Bajo,Alto,Alto
Botswana,Alto,Alto,Alto,Medio,Medio
Brazil,Bajo,Medio,Alto,Bajo,Bajo
Brunei Darussalam,Bajo,Bajo,Bajo,Bajo,Bajo
Bulgaria,Bajo,Bajo,Bajo,Medio,Medio
Burkina Faso,Alto,Alto,Medio,Medio,Medio
Burundi,Medio,Alto,Medio,Alto,Alto
Cabo Verde,Alto,Medio,Alto,Medio,Medio
Cambodia,Bajo,Medio,Alto,Bajo,Bajo
Cameroon,Alto,Alto,Bajo,Bajo,Bajo
Canada,Medio,Bajo,Medio,Alto,Alto
Central African Republic (the),Alto,Alto,Bajo,Alto,Alto
Chad,Alto,Alto,Alto,Medio,Medio
Chile,Medio,Bajo,Medio,Alto,Alto
China,Bajo,Bajo,Bajo,Medio,Medio
Colombia,Bajo,Medio,Bajo,Alto,Alto
Comoros (the),Medio,Alto,Alto,Medio,Medio
Congo (the),Medio,Alto,Medio,Medio,Medio
Costa Rica,Bajo,Bajo,Medio,Alto,Alto
Côte d'Ivoire,Alto,Bajo,Medio,Medio,Bajo
Croatia,Medio,Bajo,Bajo,Alto,Alto
Cuba,Medio,Bajo,Bajo,Alto,Alto
Cyprus,Bajo,Bajo,Bajo,Medio,Bajo
Czechia,Medio,Bajo,Bajo,Alto,Alto
Democratic People's Republic of Korea (the),Medio,Medio,Bajo,Medio,Medio
Democratic Republic of the Congo (the),Medio,Alto,Alto,Alto,Alto
Denmark,Bajo,Bajo,Bajo,Alto,Alto
Djibouti,Medio,Alto,Medio,Medio,Medio
Dominica,Bajo,Alto,Alto,Alto,Alto
Ecuador,Bajo,Medio,Medio,Medio,Medio
Egypt,Bajo,Medio,Bajo,Bajo,Bajo
El Salvador,Bajo,Medio,Alto,Alto,Alto
Equatorial Guinea,Alto,Alto,Bajo,Bajo,Bajo
Eritrea,Alto,Alto,Medio,Bajo,Bajo
Estonia,Medio,Bajo,Bajo,Alto,Alto
Eswatini,Alto,Alto,Alto,Alto,Alto
Ethiopia,Medio,Alto,Medio,Alto,Alto
Fiji,Medio,Medio,Bajo,Medio,Medio
Finland,Alto,Bajo,Bajo,Medio,Alto
France,Medio,Bajo,Bajo,Alto,Alto
Gabon,Alto,Alto,Medio,Medio,Bajo
Gambia (the),Medio,Alto,Medio,Alto,Alto
Georgia,Bajo,Bajo,Bajo,Bajo,Bajo
Germany,Medio,Bajo,Bajo,Alto,Alto
Ghana,Medio,Alto,Medio,Bajo,Bajo
Greece,Bajo,Bajo,Bajo,Medio,Medio
Grenada,Bajo,Medio,Bajo,Medio,Medio
Guatemala,Bajo,Medio,Alto,Alto,Alto
Guinea,Medio,Alto,Medio,Medio,Medio
Guinea-Bissau,Medio,Alto,Medio,Medio,Bajo
Guyana,Alto,Medio,Alto,Medio,Medio
Haiti,Medio,Alto,Alto,Bajo,Bajo
Honduras,Bajo,Medio,Alto,Alto,Alto
Hungary,Medio,Bajo,Bajo,Medio,Medio
Iceland,Medio,Bajo,Bajo,Alto,Alto
India,Medio,Medio,Bajo,Bajo,Bajo
Indonesia,Bajo,Medio,Bajo,Bajo,Bajo
Iran (Islamic Republic of),Bajo,Medio,Bajo,Alto,Alto
Iraq,Bajo,Medio,Alto,Bajo,Bajo
Ireland,Medio,Bajo,Bajo,Alto,Alto
Israel,Bajo,Bajo,Bajo,Medio,Medio
